Year,SERIES,UNIT_MEASURE,Пол,Value
2010,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,12.29534
2011,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,13.09235
2012,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,13.80968
2016,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,19.94846
2017,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,22.85772
2018,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,23.66203
2019,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,31.28761
2021,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,31.5854
2022,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,35.27776
2023,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Оба пола,37.495
2010,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,12.22313
2011,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,12.78877
2012,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,13.69255
2016,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,19.74354
2017,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,22.57974
2018,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,23.95424
2019,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,31.07453
2021,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,31.89391
2022,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,34.81689
2023,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Жене,37.48305
2010,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,12.36276
2011,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,13.37597
2012,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,13.91888
2016,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,20.13901
2017,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,23.11639
2018,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,23.38979
2019,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,31.48628
2021,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,31.2975
2022,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,35.70772
2023,"Стопа учешћа у организованом учењу (годину дана приjе званичног узраста за упис у основну школу), према полу",Проценат,Мушкарци,37.50615
