Year,SERIES,UNIT_MEASURE,Value
2019,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ),NUMBER,1
2020,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ),NUMBER,1
2021,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ),NUMBER,1
2022,Земље с националним статистичким плановима који су у потпуности финансирани (1= ДА; 0 = НЕ),NUMBER,1
2019,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ),NUMBER,1
2020,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ),NUMBER,1
2021,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ),NUMBER,1
2022,Земље с националним статистичким плановима који су у спровођењу (1 = ДА; 0 = НЕ),NUMBER,1
2019,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ),NUMBER,1
2020,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ),NUMBER,1
2021,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ),NUMBER,1
2022,Земље с националним статистичким плановима које финансира држава (1 = ДА; 0 = НЕ),NUMBER,1
2019,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ),NUMBER,1
2020,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ),NUMBER,1
2021,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ),NUMBER,1
2022,Земље с националним статистичким плановима које финансирају донатори (1 = ДА; 0 = НЕ),NUMBER,1
