Year,SERIES,UNIT_MEASURE,Пол,Value
2010,Број мјеста које имају жене у националним парламентима,Број,Жене,8.0
2011,Број мјеста које имају жене у националним парламентима,Број,Жене,7.0
2012,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2013,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2014,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2015,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2016,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2017,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2018,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2019,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2020,Број мјеста које имају жене у националним парламентима,Број,Жене,9.0
2021,Број мјеста које имају жене у националним парламентима,Број,Жене,11.0
2022,Број мјеста које имају жене у националним парламентима,Број,Жене,11.0
2023,Број мјеста које имају жене у националним парламентима,Број,Жене,8.0
2024,Број мјеста које имају жене у националним парламентима,Број,Жене,8.0
2021,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,42.0
2022,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,42.0
2023,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,42.0
2024,Тренутни број мјеста у националним парламентима (број),Број,Оба пола или без подјеле по полу,42.0
2017,Удио изборих мјеста које имају жене у савјетодавним тијелима локалне управе (%),Проценат,Жене,18.6
2021,Удио изборих мјеста које имају жене у савјетодавним тијелима локалне управе (%),Проценат,Жене,19.6
2010,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,19.05
2011,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,16.67
2012,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2013,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2014,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2015,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2016,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2017,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2018,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2019,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2020,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,21.43
2021,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,26.19
2022,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,26.19
2023,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,19.05
2024,Удио мјеста које имају жене у националним парламентима (% од укупног броја мјеста),Проценат,Жене,19.05
