Year,SERIES,UNIT_MEASURE,Value
2005,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2010,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2015,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2016,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2017,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2018,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2019,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2020,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2021,"Земље с националним институцијама за људска права у складу с Паришким принципима, А статус (1 = ДА; 0 = НЕ)",NUMBER,1.0
2000,"Земље с националним институцијама за људска права у складу с Паришким принципима, Д статус (1 = ДА; 0 = НЕ)",NUMBER,
