Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2000,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2001,Удио становништва са приступом електричној енергији,Проценат,Укупно,99.4
2002,Удио становништва са приступом електричној енергији,Проценат,Укупно,98.5
2003,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2004,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2005,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2006,Удио становништва са приступом електричној енергији,Проценат,Укупно,99.4
2007,Удио становништва са приступом електричној енергији,Проценат,Укупно,99.7
2008,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2009,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2010,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2011,Удио становништва са приступом електричној енергији,Проценат,Укупно,99.7
2012,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2013,Удио становништва са приступом електричној енергији,Проценат,Укупно,99.5
2014,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2015,Удио становништва са приступом електричној енергији,Проценат,Укупно,99.7
2016,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2017,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2018,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2019,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2020,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2021,Удио становништва са приступом електричној енергији,Проценат,Укупно,100.0
2000,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2001,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2002,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2003,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2004,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2005,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2006,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2007,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2008,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2009,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2010,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2011,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2012,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2013,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2014,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2015,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2016,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2017,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2018,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2019,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2020,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2021,Удио становништва са приступом електричној енергији,Проценат,Рурално,100.0
2000,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2001,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2002,Удио становништва са приступом електричној енергији,Проценат,Урбано,99.3
2003,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2004,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2005,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2006,Удио становништва са приступом електричној енергији,Проценат,Урбано,99.7
2007,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2008,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2009,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2010,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2011,Удио становништва са приступом електричној енергији,Проценат,Урбано,99.8
2012,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2013,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2014,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2015,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2016,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2017,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2018,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2019,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2020,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
2021,Удио становништва са приступом електричној енергији,Проценат,Урбано,100.0
