Year,SERIES,UNIT_MEASURE,Пол,Value
2000,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Оба пола,2.0
2005,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Оба пола,1.9
2010,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Оба пола,2.0
2015,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Оба пола,2.1
2019,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Оба пола,2.0
2020,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Оба пола,2.0
2021,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Оба пола,1.9
2000,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Жене,1.6
2005,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Жене,1.5
2010,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Жене,1.6
2015,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Жене,1.7
2019,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Жене,1.8
2020,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Жене,1.8
2021,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Жене,1.8
2000,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Мушкарци,2.5
2005,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Мушкарци,2.4
2010,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Мушкарци,2.3
2015,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Мушкарци,2.3
2019,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Мушкарци,2.3
2020,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Мушкарци,2.2
2021,"Стопа смртности узрокована ненамјерним тровањем, по полу (смртни случајеви на 100.000 становника)",На 100.000 становника,Мушкарци,1.9
