Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,42.1
2001,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,44.5
2002,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,45.2
2003,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,45.1
2004,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,44.8
2005,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,44.5
2006,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,43.8
2007,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,42.3
2008,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,40.2
2009,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,37.9
2010,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,35.5
2011,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,32.9
2012,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,30.3
2013,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,27.8
2014,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,25.5
2015,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,23.2
2016,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,21.4
2017,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,20.0
2018,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,18.8
2019,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,17.9
2020,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,17.2
2021,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,16.7
2022,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,16.4
2023,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Оба пола,16.3
2000,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,19.2
2001,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,20.2
2002,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,20.6
2003,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,20.6
2004,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,20.5
2005,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,20.3
2006,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,20.0
2007,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,19.2
2008,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,18.3¸
2009,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,17.2
2010,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,16.1
2011,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,14.9
2012,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,13.7
2013,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,12.6
2014,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,11.5
2015,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,10.5
2016,Дјеца са умјереном или озбиљном прекомјерном тјелесном тежином (хиљаде),Хиљаде,Испод 5 година,Жене,9.7
