Year,SERIES,UNIT_MEASURE,Године,Value
2000,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,4.8
2001,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,2.4
2002,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,5.4
2003,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,5.1
2004,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,8.0
2005,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,6.1
2006,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15+.7.1,
2007,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,3.5
2008,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,-0.92
2009,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,-0.35
2010,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,7.3
2011,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,3.3
2012,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,1.9
2013,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,3.3
2014,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,2.7
2015,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,6.05
2016,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,1.6
2017,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,-1.58
2018,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,2.74
2019,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,1.35
2020,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,-0.56
2021,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,7.71
2022,Годишња стопа раста реалног БДП-а по запосленом лицу,Проценат,15 година и више,2.64
