Year,SERIES,UNIT_MEASURE,Пол,Године,Ниво образовања,Квантил дохотка или богатства,Степен урбанизације,Value
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,56.21
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,52.69
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,58.84
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,79.34
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,77.46
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Жене,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,47.72
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Жене,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,47.06
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Жене,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,54.74
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Жене,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,70.37
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Жене,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,75.75
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Мушкарци,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,67.23
2014,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Мушкарци,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,58.82
2017,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Мушкарци,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,63.18
2021,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Мушкарци,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,88.71
2024,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Мушкарци,15 година и више,Укупно,Укупно (национални просјек) или без подјеле,Сва подручја,79.26
2011,Удио одраслих (15 и више година) који имају рачун у банци или другој финансијској институцији или код провајдера мобилних новчаних услуга,Проценат,Оба пола или без подјеле по полу,15 година и више,Укупно,Најсиромашнији 40%,Сва подручја,42.76
