Year,SERIES,UNIT_MEASURE,Привредна активност,Пол,Године,Value
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,89.55
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,90.87
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,91.24
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,91.19
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,90.4
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,90.56
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,90.81
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,90.94
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,89.75
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,90.0
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,89.89
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,76.01
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,72.74
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,79.37
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,64.52
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,78.44
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола,15 година и више,81.19
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,24.64
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,23.76
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,21.15
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,18.33
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,18.12
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,16.33
2012,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,18.9
2013,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,17.7
2014,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,16.8
2015,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,17.1
2016,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,17.5
2017,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,12.9
2018,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,12.7
2019,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,10.8
2020,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,7.5
2021,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,8.4
2022,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Непољопривредна,Оба пола,15 година и више,7.45
2006,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,38.0
2007,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,37.1
2008,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,35.6
2009,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,33.8
2010,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,32.4
2011,"Проценат неформалне запослености, по сектору и полу (усаглашене процене ИЛО) - 13. ICLS (%)",Проценат,Без пођеле,Оба пола,15 година и више,30.9
