Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2000,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,53.8
2000,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,33.0
2000,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,81.8
2001,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,52.7
2001,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,31.9
2001,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,80.1
2002,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,51.6
2002,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,30.4
2002,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,79.3
2003,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,51.0
2003,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,29.15
2003,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,78.1
2004,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,50.0
2004,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,27.8
2004,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,76.7
2005,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,49.1
2005,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,26.4
2005,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,75.3
2006,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,47.7
2006,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,25.5
2006,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,74.1
2007,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,46.6
2007,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,23.9
2007,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,72.7
2008,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,46.3
2008,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,22.8
2008,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,71.3
2009,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,45.2
2009,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,21.7
2009,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,69.8
2010,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,44.9
2010,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,20.7
2010,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,68.4
2011,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,43.3
2011,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,19.8
2011,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,67.3
2012,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,43.0
2012,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,18.6
2012,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,66.0
2013,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,42.7
2013,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,18.0
2013,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,65.2
2014,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,42.1
2014,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,17.1
2014,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,64.4
2015,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,41.7
2015,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,16.2
2015,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,63.4
2016,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,41.6
2016,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,15.5
2016,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,62.6
2017,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,41.3
2017,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,14.7
2017,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,61.8
2018,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,40.8
2018,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,14.3
2018,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,61.1
2019,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,40.3
2019,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,13.5
2019,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,60.2
2020,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,40.2
2020,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,13.4
2020,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,59.6
2021,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,49.9
2021,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,12.2
2021,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,57.95
2022,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,39.3
2022,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,11.5
2022,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,57.4
2023,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Сва подручја,39.5
2023,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Рурално,10.95
2023,Удио становништва који се првенствено ослања на чиста горива и технологију,Проценат,Урбано,57.0
