Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,SH_IHR_CAPS,Проценат,"Национално законодавство, политика и финансирање",75
2011,SH_IHR_CAPS,Проценат,"Национално законодавство, политика и финансирање",75
2014,SH_IHR_CAPS,Проценат,"Национално законодавство, политика и финансирање",75
2015,SH_IHR_CAPS,Проценат,"Национално законодавство, политика и финансирање",100
2016,SH_IHR_CAPS,Проценат,"Национално законодавство, политика и финансирање",100
2017,SH_IHR_CAPS,Проценат,"Национално законодавство, политика и финансирање",100
2010,SH_IHR_CAPS,Проценат,Координација и национална контакт тачка за комуникацију,40
2011,SH_IHR_CAPS,Проценат,Координација и национална контакт тачка за комуникацију,73
2014,SH_IHR_CAPS,Проценат,Координација и национална контакт тачка за комуникацију,73
2015,SH_IHR_CAPS,Проценат,Координација и национална контакт тачка за комуникацију,30
2016,SH_IHR_CAPS,Проценат,Координација и национална контакт тачка за комуникацију,30
2017,SH_IHR_CAPS,Проценат,Координација и национална контакт тачка за комуникацију,30
2010,SH_IHR_CAPS,Проценат,Надзор,48
2011,SH_IHR_CAPS,Проценат,Надзор,85
2014,SH_IHR_CAPS,Проценат,Надзор,65
2015,SH_IHR_CAPS,Проценат,Надзор,80
2016,SH_IHR_CAPS,Проценат,Надзор,75
2017,SH_IHR_CAPS,Проценат,Надзор,75
2010,SH_IHR_CAPS,Проценат,Одговор,32
2011,SH_IHR_CAPS,Проценат,Одговор,57
2014,SH_IHR_CAPS,Проценат,Одговор,53
2015,SH_IHR_CAPS,Проценат,Одговор,60
2016,SH_IHR_CAPS,Проценат,Одговор,72
2017,SH_IHR_CAPS,Проценат,Одговор,72
2010,SH_IHR_CAPS,Проценат,Спремност,33
2011,SH_IHR_CAPS,Проценат,Спремност,30
2014,SH_IHR_CAPS,Проценат,Спремност,25
2015,SH_IHR_CAPS,Проценат,Спремност,45
2016,SH_IHR_CAPS,Проценат,Спремност,55
2017,SH_IHR_CAPS,Проценат,Спремност,63
2010,SH_IHR_CAPS,Проценат,Комуникација о ризику,20
2011,SH_IHR_CAPS,Проценат,Комуникација о ризику,57
2014,SH_IHR_CAPS,Проценат,Комуникација о ризику,86
2015,SH_IHR_CAPS,Проценат,Комуникација о ризику,57
2016,SH_IHR_CAPS,Проценат,Комуникација о ризику,71
2017,SH_IHR_CAPS,Проценат,Комуникација о ризику,71
2010,SH_IHR_CAPS,Проценат,Људски ресурси,0
2011,SH_IHR_CAPS,Проценат,Људски ресурси,0
2014,SH_IHR_CAPS,Проценат,Људски ресурси,20
2015,SH_IHR_CAPS,Проценат,Људски ресурси,20
2016,SH_IHR_CAPS,Проценат,Људски ресурси,20
2017,SH_IHR_CAPS,Проценат,Људски ресурси,20
2010,SH_IHR_CAPS,Проценат,Лабораторија,43
2011,SH_IHR_CAPS,Проценат,Лабораторија,40
2014,SH_IHR_CAPS,Проценат,Лабораторија,59
2015,SH_IHR_CAPS,Проценат,Лабораторија,49
2016,SH_IHR_CAPS,Проценат,Лабораторија,62
2017,SH_IHR_CAPS,Проценат,Лабораторија,62
2010,SH_IHR_CAPS,Проценат,Тачке уласка,26
2011,SH_IHR_CAPS,Проценат,Тачке уласка,0
2014,SH_IHR_CAPS,Проценат,Тачке уласка,0
2015,SH_IHR_CAPS,Проценат,Тачке уласка,0
2016,SH_IHR_CAPS,Проценат,Тачке уласка,0
2017,SH_IHR_CAPS,Проценат,Тачке уласка,0
2010,SH_IHR_CAPS,Проценат,Зоонотски догађаји,76
2011,SH_IHR_CAPS,Проценат,Зоонотски догађаји,56
2014,SH_IHR_CAPS,Проценат,Зоонотски догађаји,78
