Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,279.0
2001,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,257.0
2002,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,248.0
2003,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,236.0
2004,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,226.0
2005,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,210.0
2006,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,197.0
2007,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,192.0
2008,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,187.0
2009,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,188.0
2010,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,179.0
2011,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,164.0
2012,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,160.0
2013,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,155.0
2014,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,146.0
2015,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,145.0
2016,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,142.0
2017,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,141.0
2018,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,141.0
2019,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,135.0
2020,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,130.0
2021,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,122.0
2022,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,114.0
2023,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,111.0
2024,Неонатални морталитет (број),Број,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,108.0
2000,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,6.6
2001,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,6.2
2002,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.9
2003,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.6
2004,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.4
2005,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.2
2006,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.1
2007,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.0
2008,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.0
2009,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,5.0
2010,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2011,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2012,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2013,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2014,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2015,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.9
2016,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.8
2017,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.8
2018,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.7
2019,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.7
2020,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.7
2021,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.7
2022,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.6
2023,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.5
2024,Стопа неонаталног морталитета,На 1.000 живорођених,Млађи од 1 мјесеца,Оба пола или без подјеле по полу,4.4
