Year,SERIES,UNIT_MEASURE,Године,Степен урбанизације,Квантил дохотка или богатства,Пол,Tipovi domaćinstva,Value
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,испод 59 година,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,8.11
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,60 година и више,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,9.36
2001,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,18.78
2004,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,11.24
2007,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,15.36
2011,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,12.25
2015,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,10.92
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,8.58
2022,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Све врсте домаћинстава,8.58
2001,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Домаћинства састављена само од особа старости између 20 и 59 година,9.94
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Домаћинства састављена само од особа старости између 20 и 59 година,3.68
2001,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Одрасли који живе са децом (0 до 9 година) и или адолесцентима (10 до 19 година),18.23
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Одрасли који живе са децом (0 до 9 година) и или адолесцентима (10 до 19 година),9.06
2001,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Домаћинства састављена од одраслих који живе са најмање једном старијом особом (60 година и више),17.51
2021,"Удио становништва са позитивним издацима домаћинства за здравство који прелазе 40% дискреционог буџета домаћинства, по локацији, квинтилу, типу домаћинства и карактеристикама главе домаћинства (%)",Проценат,Сви старосни распони,Сва подручја,Укупно (национални просјек) или без подјеле,Оба пола,Домаћинства састављена од одраслих који живе са најмање једном старијом особом (60 година и више),7.95
