Year,SERIES,UNIT_MEASURE,Пол,Value
2000,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,2.37
2001,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.95
2002,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,2.14
2004,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.64
2007,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.65
2008,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.67
2009,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.83
2010,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.47
2011,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.36
2012,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.71
2013,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.27
2014,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.4
2015,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.62
2016,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.29
2017,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.22
2018,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.15
2019,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.25
2020,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.31
2021,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,0.98
2022,VC_IHR_PSRC,На 100.000 становника,Оба пола или без подјеле по полу,1.08
2000,VC_IHR_PSRC,На 100.000 становника,Жене,0.93
2001,VC_IHR_PSRC,На 100.000 становника,Жене,1.35
2002,VC_IHR_PSRC,На 100.000 становника,Жене,1.16
2009,VC_IHR_PSRC,На 100.000 становника,Жене,0.76
2010,VC_IHR_PSRC,На 100.000 становника,Жене,0.51
2011,VC_IHR_PSRC,На 100.000 становника,Жене,0.83
2012,VC_IHR_PSRC,На 100.000 становника,Жене,1.28
2013,VC_IHR_PSRC,На 100.000 становника,Жене,0.76
2014,VC_IHR_PSRC,На 100.000 становника,Жене,0.6
2015,VC_IHR_PSRC,На 100.000 становника,Жене,1.0
2016,VC_IHR_PSRC,На 100.000 становника,Жене,0.85
2017,VC_IHR_PSRC,На 100.000 становника,Жене,0.57
2018,VC_IHR_PSRC,На 100.000 становника,Жене,0.46
2019,VC_IHR_PSRC,На 100.000 становника,Жене,0.59
2020,VC_IHR_PSRC,На 100.000 становника,Жене,0.3
2021,VC_IHR_PSRC,На 100.000 становника,Жене,0.42
2022,VC_IHR_PSRC,На 100.000 становника,Жене,0.73
2000,VC_IHR_PSRC,На 100.000 становника,Мушкарци,3.88
2001,VC_IHR_PSRC,На 100.000 становника,Мушкарци,2.59
2002,VC_IHR_PSRC,На 100.000 становника,Мушкарци,3.17
2009,VC_IHR_PSRC,На 100.000 становника,Мушкарци,2.96
2010,VC_IHR_PSRC,На 100.000 становника,Мушкарци,2.47
2011,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.92
2012,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.81
2013,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.84
2014,VC_IHR_PSRC,На 100.000 становника,Мушкарци,2.23
2015,VC_IHR_PSRC,На 100.000 становника,Мушкарци,2.26
2016,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.76
2017,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.9
2018,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.86
2019,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.94
2020,VC_IHR_PSRC,На 100.000 становника,Мушкарци,2.33
2021,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.55
2022,VC_IHR_PSRC,На 100.000 становника,Мушкарци,1.38
2000,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,99.0
2001,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,82.0
2002,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,90.0
2004,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,68.0
2007,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,66.0
2008,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,66.0
2009,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,71.0
2010,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,56.0
2011,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,51.0
2012,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,63.0
2013,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,46.0
2014,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,50.0
2015,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,57.0
2016,VC_IHR_PSRCN,Број,Оба пола или без подјеле по полу,45.0
