Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.3
2001,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.1
2002,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2003,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2004,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2005,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2006,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2007,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2008,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2009,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2010,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,21.9
2011,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.0
2012,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.1
2013,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.2
2014,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.4
2015,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.6
2016,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,22.8
2017,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,23.1
2018,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,23.4
2019,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,23.7
2020,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,24.1
2021,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,24.7
2022,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,25.3
2023,Удио жена у доби од 15-49 година с анемијом (%),Проценат,15 до 49 година,Жене,26.0
2000,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,22.1
2001,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.9
2002,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.8
2003,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.7
2004,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.7
2005,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.7
2006,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.8
2007,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.6
2008,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.7
2009,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.8
2010,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.8
2011,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,21.9
2012,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,22.0
2013,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,22.1
2014,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,22.3
2015,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,22.5
2016,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,22.8
2017,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,23.0
2018,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,23.3
2019,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,23.7
2020,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,24.1
2021,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,24.6
2022,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,25.3
2023,"Удио жена у доби од 15-49 година с анемијом, које нису трудне (%)",Проценат,15 до 49 година,Жене,26.0
2000,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,30.9
2001,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,30.4
2002,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,29.9
2003,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,29.5
2004,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,29.1
2005,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,28.7
2006,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,28.3
2007,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,27.9
2008,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,27.6
2009,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,27.3
2010,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,27.0
2011,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.8
2012,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.6
2013,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.5
2014,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.4
2015,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.3
2016,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.2
2017,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.1
2018,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.1
2019,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.0
2020,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.0
2021,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.0
2022,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.0
2023,"Удио жена у доби од 15-49 година с анемијом, трудница (%)",Проценат,15 до 49 година,Жене,26.0
