Year,SERIES,Године,COMPOSITE_BREAKDOWN,Пол,Занимање,UNIT_MEASURE,Value
2020,Пропорције позиција у јавној служби у поређењу са националном дистрибуцијом (однос),Сви старосни распони или нема подјеле по годинама,,Жене,Административни стручњаци,Однос,0.99
2020,Пропорције позиција у јавној служби у поређењу са националном дистрибуцијом (однос),Сви старосни распони или нема подјеле по годинама,,Жене,Стручњаци за пословне и административне послове,Однос,0.91
2020,Пропорције позиција у јавној служби у поређењу са националном дистрибуцијом (однос),Сви старосни распони или нема подјеле по годинама,,Жене,Општи службеници и секретарице,Однос,1.19
2020,Пропорције позиција у јавној служби у поређењу са националном дистрибуцијом (однос),Сви старосни распони или нема подјеле по годинама,,Жене,Остали менаџери: генерални директори и извршни директори и менаџери за пословне услуге и администрацију,Однос,0.8
2020,Пропорције позиција у јавној служби у поређењу са националном дистрибуцијом (однос),Сви старосни распони или нема подјеле по годинама,,Жене,Виши руководиоци: виши државни службеници,Однос,0.29
2020,Пропорције позиција у јавној служби у поређењу са националном дистрибуцијом (однос),млађи од 35 година,,Оба пола или без подјеле по полу,"Укупан број запослених у јавним службама на националном нивоу (укључујући полицију, образовање, здравство, административно особље на рецепцији и све остало особље јавних служби)",Однос,0.44
2020,Пропорције позиција у јавној служби у поређењу са националном дистрибуцијом (однос),Сви старосни распони или нема подјеле по годинама,,Жене,"Укупан број запослених у јавним службама на националном нивоу (укључујући полицију, образовање, здравство, административно особље на рецепцији и све остало особље јавних служби)",Однос,1.11
2022,Пропорције позиција у правосуђу у поређењу са националном дистрибуцијом (однос),Сви старосни распони,,Жене,Судије,Однос,1.296
2022,Пропорције позиција у правосуђу у поређењу са националном дистрибуцијом (однос),Сви старосни распони,,Мушкарци,Судије,Однос,0.704
2022,"Пропорције позиција у правосуђу у односу на националне расподјеле, Уставни суд (однос)",Сви старосни распони,,Жене,Судије,Однос,1.298
2022,"Пропорције позиција у правосуђу у односу на националне расподјеле, Уставни суд (однос)",Сви старосни распони,,Мушкарци,Судије,Однос,0.702
2022,"Пропорције позиција у правосуђу у поређењу са националном дистрибуцијом, виши судови (однос)",Сви старосни распони,,Жене,Судије,Однос,1.40171
2022,"Пропорције позиција у правосуђу у поређењу са националном дистрибуцијом, виши судови (однос)",Сви старосни распони,,Мушкарци,Судије,Однос,0.59829
2022,"Пропорције позиција у правосуђу у поређењу са националном дистрибуцијом, нижи судови (однос)",Сви старосни распони,,Жене,Судије,Однос,1.26
2022,"Пропорције позиција у правосуђу у поређењу са националном дистрибуцијом, нижи судови (однос)",Сви старосни распони,,Мушкарци,Судије,Однос,0.74
2021,"Број предсједавајућих сталних одбора, према полу старости и фокусу одбора, заједнички одбори",Непознато,Људска права,Мушкарци,,Број,1.0
2022,"Број предсједавајућих сталних одбора, према полу старости и фокусу одбора, заједнички одбори",Непознато,Људска права,Мушкарци,,Број,1.0
2025,"Број предсједавајућих сталних одбора, према полу старости и фокусу одбора, заједнички одбори",млађи од 45 година,Људска права,Мушкарци,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према полу старости и фокусу одбора, заједнички одбори",млађи од 45 година,Људска права,Мушкарци,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према полу старости и фокусу одбора, заједнички одбори",41 година и више,Одбрана,Мушкарци,,Број,1.0
2025,"Број предсједавајућих сталних одбора, према полу старости и фокусу одбора, заједнички одбори",46 година и више,Одбрана,Мушкарци,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према полу старости и фокусу одбора, заједнички одбори",46 година и више,Одбрана,Мушкарци,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",испод 41 године,Спољни poslovi,Жене,,Број,1.0
2025,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",млађи од 45 година,Спољни poslovi,Жене,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",млађи од 45 година,Спољни poslovi,Жене,,Број,1.0
2022,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,Спољни poslovi,Мушкарци,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",41 година и више,Равноправност полова,Мушкарци,,Број,1.0
2022,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,Равноправност полова,Мушкарци,,Број,1.0
2025,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,Равноправност полова,Мушкарци,,Број,1.0
2026,"Број предсједавајућих сталних одбора, према старости и полу, у доњем дому или једнодомном парламенту",46 година и више,Равноправност полова,Мушкарци,,Број,1.0
