Year,SERIES,UNIT_MEASURE,Године,Пол,Value
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2006,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2007,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2008,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2009,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2010,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2011,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2012,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2013,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2014,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2015,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2016,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2017,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2018,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Оба пола или без подјеле по полу,
2000,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2001,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2002,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2003,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2004,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
2005,Број нових HIV инфекција на 1.000 неинфицираних становника,На 1.000 незараженог становништва,15 до 24 године,Жене,
