Year,SERIES,UNIT_MEASURE,Пол,Value
2000,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Оба пола или без подјеле по полу,19.0
2005,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Оба пола или без подјеле по полу,17.8
2010,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Оба пола или без подјеле по полу,16.9
2015,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Оба пола или без подјеле по полу,15.8
2019,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Оба пола или без подјеле по полу,13.5
2000,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Жене,10.2
2005,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Жене,8.0
2010,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Жене,7.4
2015,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Жене,6.6
2019,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Жене,5.9
2000,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Мушкарци,28.2
2005,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Мушкарци,27.9
2010,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Мушкарци,26.7
2015,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Мушкарци,25.4
2019,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)",На 100.000 становника,Мушкарци,21.4
