Year,SERIES,UNIT_MEASURE,Пол,Value
2000,Удио појединаца који користе интернет (%),Проценат,Оба пола,1.08
2001,Удио појединаца који користе интернет (%),Проценат,Оба пола,1.2
2002,Удио појединаца који користе интернет (%),Проценат,Оба пола,2.65
2003,Удио појединаца који користе интернет (%),Проценат,Оба пола,3.97
2004,Удио појединаца који користе интернет (%),Проценат,Оба пола,15.47
2005,Удио појединаца који користе интернет (%),Проценат,Оба пола,21.33
2006,Удио појединаца који користе интернет (%),Проценат,Оба пола,25.12
2007,Удио појединаца који користе интернет (%),Проценат,Оба пола,27.92
2008,Удио појединаца који користе интернет (%),Проценат,Оба пола,34.66
2009,Удио појединаца који користе интернет (%),Проценат,Оба пола,37.74
2010,Удио појединаца који користе интернет (%),Проценат,Оба пола,42.75
2011,Удио појединаца који користе интернет (%),Проценат,Оба пола,43.89
2012,Удио појединаца који користе интернет (%),Проценат,Оба пола,45.06
2013,Удио појединаца који користе интернет (%),Проценат,Оба пола,48.52
2014,Удио појединаца који користе интернет (%),Проценат,Оба пола,49.92
2015,Удио појединаца који користе интернет (%),Проценат,Оба пола,52.6
2016,Удио појединаца који користе интернет (%),Проценат,Оба пола,60.26
2016,Удио појединаца који користе интернет (%),Проценат,Жене,57.31
2016,Удио појединаца који користе интернет (%),Проценат,Мушкарци,63.59
2017,Удио појединаца који користе интернет (%),Проценат,Оба пола,64.89
2017,Удио појединаца који користе интернет (%),Проценат,Жене,62.49
2017,Удио појединаца који користе интернет (%),Проценат,Мушкарци,67.58
2018,Удио појединаца који користе интернет (%),Проценат,Оба пола,70.12
2018,Удио појединаца који користе интернет (%),Проценат,Жене,68.34
2018,Удио појединаца који користе интернет (%),Проценат,Мушкарци,72.4
2019,Удио појединаца који користе интернет (%),Проценат,Оба пола,69.95
2019,Удио појединаца који користе интернет (%),Проценат,Жене,67.45
2019,Удио појединаца који користе интернет (%),Проценат,Мушкарци,72.82
2020,Удио појединаца који користе интернет (%),Проценат,Оба пола,73.21
2020,Удио појединаца који користе интернет (%),Проценат,Жене,69.31
2020,Удио појединаца који користе интернет (%),Проценат,Мушкарци,77.82
2021,Удио појединаца који користе интернет (%),Проценат,Оба пола,75.68
2021,Удио појединаца који користе интернет (%),Проценат,Жене,72.66
2021,Удио појединаца који користе интернет (%),Проценат,Мушкарци,79.18
2022,Удио појединаца који користе интернет (%),Проценат,Оба пола,78.85
2022,Удио појединаца који користе интернет (%),Проценат,Жене,76.97
2022,Удио појединаца који користе интернет (%),Проценат,Мушкарци,80.8
2023,Удио појединаца који користе интернет (%),Проценат,Оба пола,83.38
2023,Удио појединаца који користе интернет (%),Проценат,Жене,83.01
2023,Удио појединаца који користе интернет (%),Проценат,Мушкарци,83.72
2024,Удио појединаца који користе интернет (%),Проценат,Оба пола,86.1
2024,Удио појединаца који користе интернет (%),Проценат,Жене,84.72
2024,Удио појединаца који користе интернет (%),Проценат,Мушкарци,87.3
