Year,SERIES,UNIT_MEASURE,Пол,Value
2009,Удио становништва изнад законске старосне границе за пензију који примају пензију,Проценат,Оба пола или без подјеле по полу,29.6
2019,Удио становништва изнад законске старосне границе за пензију који примају пензију,Проценат,Оба пола или без подјеле по полу,69.5
2019,Удио становништва изнад законске старосне границе за пензију који примају пензију,Проценат,Жене,41.3
2019,Удио становништва изнад законске старосне границе за пензију који примају пензију,Проценат,Мушкарци,100.0
2020,Удио становништва изнад законске старосне границе за пензију који примају пензију,Проценат,Оба пола или без подјеле по полу,75.3
2020,Удио становништва изнад законске старосне границе за пензију који примају пензију,Проценат,Жене,43.8
2020,Удио становништва изнад законске старосне границе за пензију који примају пензију,Проценат,Мушкарци,100.0
2001,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,1.2
2005,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,1.6
2006,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,1.6
2008,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,1.6
2009,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,2.4
2010,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,2.6
2011,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,2.0
2012,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2013,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2014,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2015,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2016,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2017,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2018,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2019,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,5.3
2020,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2021,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2022,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2023,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,
2024,"Удио незапослених који примају новчану накнаду за незапослене, према полу (%)",Проценат,Оба пола или без подјеле по полу,4.68
2007,Удио становништва обухваћеног програмима тржишта рада,Проценат,,2.03118
2007,Удио становништва обухваћеног програмима социјалне помоћи,Проценат,,23.8279
2015,Удио становништва обухваћеног програмима социјалне помоћи,Проценат,,17.4175
2007,Удио становништва обухваћеног програмима социјалног осигурања,Проценат,,37.81
2015,Удио становништва обухваћеног програмима социјалног осигурања,Проценат,,40.16
2020,"Удио становништва с тешким инвалидитетом које прима новчану накнаду за инвалидност, према полу (%)",Проценат,Оба пола или без подјеле по полу,100.0
2019,"Удио становништва с тешким инвалидитетом које прима новчану накнаду за инвалидност, према полу (%)",Проценат,Оба пола или без подјеле по полу,100.0
2019,"Удио становништва с тешким инвалидитетом које прима новчану накнаду за инвалидност, према полу (%)",Проценат,Жене,100.0
2020,"Удио становништва с тешким инвалидитетом које прима новчану накнаду за инвалидност, према полу (%)",Проценат,Жене,100.0
2019,"Удио становништва с тешким инвалидитетом које прима новчану накнаду за инвалидност, према полу (%)",Проценат,Мушкарци,100.0
2020,"Удио становништва с тешким инвалидитетом које прима новчану накнаду за инвалидност, према полу (%)",Проценат,Мушкарци,100.0
2021,"Удио становништва обухваћеног најмање једном накнадом социјалне заштите, према полу (%)",Проценат,Оба пола или без подјеле по полу,54.5
2019,Удио мајки сa новорођенчади које примају новчану накнаду за материнство (%),Проценат,Жене,100.0
2020,Удио мајки сa новорођенчади које примају новчану накнаду за материнство (%),Проценат,Жене,100.0
2021,Удио мајки сa новорођенчади које примају новчану накнаду за материнство (%),Проценат,Жене,100.0
2020,"Проценат сиромашне популације која прима новчану помоћ социјалне помоћи, према полу (%)",Проценат,Оба пола или без подјеле по полу,2.6
2021,"Проценат дjеце / домаћинстава која примају дjечију / породичну новчану накнаду, према полу (%)",Проценат,Оба пола или без подјеле по полу,14.6
2021,"Проценат угроженог становништва које прима новчану помоћ социјалне помоћи, према полу (%)",Проценат,Оба пола или без подјеле по полу,14.7
