Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,31.11
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,28.98
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,23.41
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,24.07
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,27.31
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,27.58
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,28.01
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,27.49
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,27.52
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,27.69
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,25.41
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,20.53
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,18.4
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,15.69
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,15.9
2021,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 година и више,14.9
2006,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,34.86
2007,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,32.94
2008,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,26.78
2009,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,25.64
2010,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,29.93
2011,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,29.94
2012,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,30.66
2013,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,29.02
2014,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,31.17
2015,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,30.69
2016,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,30.05
2017,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,23.13
2018,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,20.33
2019,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,18.78
2020,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,15 година и више,18.5
