Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2000,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,87.47
2001,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,87.56
2002,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,87.65
2003,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,87.74
2004,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,87.83
2005,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,87.91
2006,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.0
2007,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.09
2008,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.18
2009,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.26
2010,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.34
2011,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.43
2012,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.51
2013,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.59
2014,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.67
2015,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.74
2016,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.76
2017,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.86
2018,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.86
2019,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.74
2020,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,88.15
2021,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,87.56
2022,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,86.98
2023,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,86.4
2024,"Удио становништва које користи безбједно управљане услуге снабдјевања водом за пиће, по урбаним / руралним подручјима (%)",Проценат,Сва подручја,86.4
