Year,SERIES,UNIT_MEASURE,Ниво образовања,Пол,COMPOSITE_BREAKDOWN,Value
2018,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Ниже средње образовање,Оба пола,Математика,42.44
2018,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Ниже средње образовање,Оба пола,Читање,46.32
2018,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Ниже средње образовање,Мушкарци,Читање,38.29
2018,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Ниже средње образовање,Жене,Читање,54.77
2019,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Основно образовање,Жене,Математика,36.47
2023,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Основно образовање,Жене,Математика,35.92
2019,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Основно образовање,Мушкарци,Математика,42.57
2023,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Основно образовање,Мушкарци,Математика,39.23
2019,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Основно образовање,Оба пола,Математика,39.55
2023,Удио дјеце и младих  која постижу најмање минималан ниво достигнућа у читању и  математици,Проценат,Основно образовање,Оба пола,Математика,37.59
