Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,62.8
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,60.5
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,59.8
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,58.3
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,58.8
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,55.5
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,59.3
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 до 24 године,60.7
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,66.8
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,66.5
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,64.7
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,59.6
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,66.6
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,62.6
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,66.3
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Жене,15 до 24 године,60.7
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,58.4
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,55.0
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,53.9
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,53.0
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,52.3
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,51.8
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,56.3
2021,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Мушкарци,15 до 24 године,55.5
2014,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,13.7
2015,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,13.1
2016,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,12.9
2017,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,12.1
2018,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,11.8
2019,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,10.9
2020,Стопа учешћа младих и одраслих у формалном и неформалном образовању и обуци,Проценат,Оба пола или без подјеле по полу,15 do 64 godine,12.9
