Year,Value,UNIT_MEASURE,SERIES
2005,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2010,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2015,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2016,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2017,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2018,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2019,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2020,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2021,1.0,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, A status (1 = DA; 0 = NE)"
2000,,Broj,"Zemlje s nacionalnim institucijama za ljudska prava u skladu s Pariškim principima, D status (1 = DA; 0 = NE)"
