Year,Value,UNIT_MEASURE,SERIES
2013,1,NUMBER,Zemlje koje su provele najmanje jedan popis stanovništva i domaćinstava u posljednjih 10 godina (1 = DA; 0 = NE)
2015,1,NUMBER,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE)
2016,1,NUMBER,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE)
2017,1,NUMBER,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE)
2018,1,NUMBER,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE)
2019,1,NUMBER,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE)
2020,1,NUMBER,Zemlja sa matičnim knjigama rođenih koje su popunjene najmanje 90 posto (1 = DA; 0 = NE)
2015,1,NUMBER,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE)
2016,1,NUMBER,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE)
2017,1,NUMBER,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE)
2018,1,NUMBER,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE)
2019,1,NUMBER,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE)
2020,1,NUMBER,Zemlje sa knjigom umrlih koje su popunjene najmanje 75 posto (1 = DA; 0 = NE)
