Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_DYN_NMRTN,NUMBER,M0,_T,279
2001,SH_DYN_NMRTN,NUMBER,M0,_T,257
2002,SH_DYN_NMRTN,NUMBER,M0,_T,248
2003,SH_DYN_NMRTN,NUMBER,M0,_T,236
2004,SH_DYN_NMRTN,NUMBER,M0,_T,226
2005,SH_DYN_NMRTN,NUMBER,M0,_T,210
2006,SH_DYN_NMRTN,NUMBER,M0,_T,197
2007,SH_DYN_NMRTN,NUMBER,M0,_T,192
2008,SH_DYN_NMRTN,NUMBER,M0,_T,187
2009,SH_DYN_NMRTN,NUMBER,M0,_T,188
2010,SH_DYN_NMRTN,NUMBER,M0,_T,179
2011,SH_DYN_NMRTN,NUMBER,M0,_T,164
2012,SH_DYN_NMRTN,NUMBER,M0,_T,160
2013,SH_DYN_NMRTN,NUMBER,M0,_T,155
2014,SH_DYN_NMRTN,NUMBER,M0,_T,146
2015,SH_DYN_NMRTN,NUMBER,M0,_T,145
2016,SH_DYN_NMRTN,NUMBER,M0,_T,142
2017,SH_DYN_NMRTN,NUMBER,M0,_T,141
2018,SH_DYN_NMRTN,NUMBER,M0,_T,141
2019,SH_DYN_NMRTN,NUMBER,M0,_T,135
2020,SH_DYN_NMRTN,NUMBER,M0,_T,130
2021,SH_DYN_NMRTN,NUMBER,M0,_T,122
2022,SH_DYN_NMRTN,NUMBER,M0,_T,114
2023,SH_DYN_NMRTN,NUMBER,M0,_T,111
2024,SH_DYN_NMRTN,NUMBER,M0,_T,108
2000,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.6
2001,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,6.2
2002,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.9
2003,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.6
2004,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.4
2005,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.2
2006,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.1
2007,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.0
2008,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.0
2009,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,5.0
2010,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2011,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2012,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2013,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2014,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2015,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.9
2016,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.8
2017,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.8
2018,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.7
2019,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.7
2020,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.7
2021,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.7
2022,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.6
2023,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.5
2024,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,4.4
