Year,SERIES,UNIT_MEASURE,PRODUCT,Value
2015,EN_MAT_DOMCMPC,TONNES,ALP,9.872
2016,EN_MAT_DOMCMPC,TONNES,ALP,11.432
2017,EN_MAT_DOMCMPC,TONNES,ALP,10.632
2018,EN_MAT_DOMCMPC,TONNES,ALP,11.22
2019,EN_MAT_DOMCMPC,TONNES,ALP,11.248
2015,EN_MAT_DOMCMPC,TONNES,BIM,2.387
2016,EN_MAT_DOMCMPC,TONNES,BIM,2.877
2017,EN_MAT_DOMCMPC,TONNES,BIM,2.45
2018,EN_MAT_DOMCMPC,TONNES,BIM,2.953
2019,EN_MAT_DOMCMPC,TONNES,BIM,2.945
2015,EN_MAT_DOMCMPC,TONNES,COL,3.73155
2016,EN_MAT_DOMCMPC,TONNES,COL,4.19996
2017,EN_MAT_DOMCMPC,TONNES,COL,4.45288
2018,EN_MAT_DOMCMPC,TONNES,COL,4.67832
2019,EN_MAT_DOMCMPC,TONNES,COL,4.42737
2020,EN_MAT_DOMCMPC,TONNES,COL,4.43569
2021,EN_MAT_DOMCMPC,TONNES,COL,4.35365
2015,EN_MAT_DOMCMPC,TONNES,CPR,0.307
2016,EN_MAT_DOMCMPC,TONNES,CPR,0.471
2017,EN_MAT_DOMCMPC,TONNES,CPR,0.321
2018,EN_MAT_DOMCMPC,TONNES,CPR,0.504
2019,EN_MAT_DOMCMPC,TONNES,CPR,0.485
2015,EN_MAT_DOMCMPC,TONNES,CRO,0.898
2016,EN_MAT_DOMCMPC,TONNES,CRO,1.134
2017,EN_MAT_DOMCMPC,TONNES,CRO,0.916
2018,EN_MAT_DOMCMPC,TONNES,CRO,1.167
2019,EN_MAT_DOMCMPC,TONNES,CRO,1.107
2015,EN_MAT_DOMCMPC,TONNES,FEO,0.511
2016,EN_MAT_DOMCMPC,TONNES,FEO,0.426
2017,EN_MAT_DOMCMPC,TONNES,FEO,0.402
2018,EN_MAT_DOMCMPC,TONNES,FEO,0.35
2019,EN_MAT_DOMCMPC,TONNES,FEO,0.382
2015,EN_MAT_DOMCMPC,TONNES,FOF,4.035
2016,EN_MAT_DOMCMPC,TONNES,FOF,4.676
2017,EN_MAT_DOMCMPC,TONNES,FOF,4.883
2018,EN_MAT_DOMCMPC,TONNES,FOF,4.989
2019,EN_MAT_DOMCMPC,TONNES,FOF,4.697
2015,EN_MAT_DOMCMPC,TONNES,GAS,0.063
