Year,SERIES,UNIT_MEASURE,AGE,SEX,COMPOSITE_BREAKDOWN,Value
2000,SH_DTH_NCOM,PT,Y30T70,_T,,24.4
2005,SH_DTH_NCOM,PT,Y30T70,_T,,22.8
2010,SH_DTH_NCOM,PT,Y30T70,_T,,20.9
2015,SH_DTH_NCOM,PT,Y30T70,_T,,18.2
2016,SH_DTH_NCOM,PT,Y30T70,_T,,17.8
2000,SH_DTH_NCOM,PT,Y30T70,F,,18.8
2005,SH_DTH_NCOM,PT,Y30T70,F,,17.2
2010,SH_DTH_NCOM,PT,Y30T70,F,,15.7
2015,SH_DTH_NCOM,PT,Y30T70,F,,13.2
2016,SH_DTH_NCOM,PT,Y30T70,F,,12.9
2000,SH_DTH_NCOM,PT,Y30T70,M,,30.5
2005,SH_DTH_NCOM,PT,Y30T70,M,,28.8
2010,SH_DTH_NCOM,PT,Y30T70,M,,26.6
2015,SH_DTH_NCOM,PT,Y30T70,M,,23.6
2016,SH_DTH_NCOM,PT,Y30T70,M,,23.1
2000,SH_DTH_NCD,NUMBER,,_T,NCD_CNCR,4952
2005,SH_DTH_NCD,NUMBER,,_T,NCD_CNCR,5983
2010,SH_DTH_NCD,NUMBER,,_T,NCD_CNCR,6617
2015,SH_DTH_NCD,NUMBER,,_T,NCD_CNCR,7212
2016,SH_DTH_NCD,NUMBER,,_T,NCD_CNCR,7262
2000,SH_DTH_NCD,NUMBER,,F,NCD_CNCR,2035
2005,SH_DTH_NCD,NUMBER,,F,NCD_CNCR,2490
2010,SH_DTH_NCD,NUMBER,,F,NCD_CNCR,2726
2015,SH_DTH_NCD,NUMBER,,F,NCD_CNCR,2955
2016,SH_DTH_NCD,NUMBER,,F,NCD_CNCR,2955
2000,SH_DTH_NCD,NUMBER,,_T,NCD_CARDIO,17774
2005,SH_DTH_NCD,NUMBER,,_T,NCD_CARDIO,19965
2010,SH_DTH_NCD,NUMBER,,_T,NCD_CARDIO,20095
2015,SH_DTH_NCD,NUMBER,,_T,NCD_CARDIO,20044
2016,SH_DTH_NCD,NUMBER,,_T,NCD_CARDIO,20279
2000,SH_DTH_NCD,NUMBER,,F,NCD_CARDIO,9160
2005,SH_DTH_NCD,NUMBER,,F,NCD_CARDIO,10313
2010,SH_DTH_NCD,NUMBER,,F,NCD_CARDIO,10777
2015,SH_DTH_NCD,NUMBER,,F,NCD_CARDIO,10809
2016,SH_DTH_NCD,NUMBER,,F,NCD_CARDIO,10982
2000,SH_DTH_NCD,NUMBER,,_T,NCD_DIABTS,1021
2005,SH_DTH_NCD,NUMBER,,_T,NCD_DIABTS,2025
2010,SH_DTH_NCD,NUMBER,,_T,NCD_DIABTS,2522
2015,SH_DTH_NCD,NUMBER,,_T,NCD_DIABTS,2567
2016,SH_DTH_NCD,NUMBER,,_T,NCD_DIABTS,2552
2000,SH_DTH_NCD,NUMBER,,F,NCD_DIABTS,657
2005,SH_DTH_NCD,NUMBER,,F,NCD_DIABTS,1234
2010,SH_DTH_NCD,NUMBER,,F,NCD_DIABTS,1518
2015,SH_DTH_NCD,NUMBER,,F,NCD_DIABTS,1522
2016,SH_DTH_NCD,NUMBER,,F,NCD_DIABTS,1511
2000,SH_DTH_NCD,NUMBER,,_T,NCD_CRESPD,1298
2005,SH_DTH_NCD,NUMBER,,_T,NCD_CRESPD,1474
2010,SH_DTH_NCD,NUMBER,,_T,NCD_CRESPD,1475
2015,SH_DTH_NCD,NUMBER,,_T,NCD_CRESPD,1447
2016,SH_DTH_NCD,NUMBER,,_T,NCD_CRESPD,1448
2000,SH_DTH_NCD,NUMBER,,M,NCD_CNCR,2917
2005,SH_DTH_NCD,NUMBER,,M,NCD_CNCR,3493
2010,SH_DTH_NCD,NUMBER,,M,NCD_CNCR,3891
2015,SH_DTH_NCD,NUMBER,,M,NCD_CNCR,4257
2016,SH_DTH_NCD,NUMBER,,M,NCD_CNCR,4307
2000,SH_DTH_NCD,NUMBER,,M,NCD_CARDIO,8614
2005,SH_DTH_NCD,NUMBER,,M,NCD_CARDIO,9652
2010,SH_DTH_NCD,NUMBER,,M,NCD_CARDIO,9318
2015,SH_DTH_NCD,NUMBER,,M,NCD_CARDIO,9235
2016,SH_DTH_NCD,NUMBER,,M,NCD_CARDIO,9298
2000,SH_DTH_NCD,NUMBER,,M,NCD_DIABTS,365
2005,SH_DTH_NCD,NUMBER,,M,NCD_DIABTS,791
2010,SH_DTH_NCD,NUMBER,,M,NCD_DIABTS,1004
2015,SH_DTH_NCD,NUMBER,,M,NCD_DIABTS,1045
2016,SH_DTH_NCD,NUMBER,,M,NCD_DIABTS,1040
2000,SH_DTH_NCD,NUMBER,,F,NCD_CRESPD,564
2005,SH_DTH_NCD,NUMBER,,F,NCD_CRESPD,584
2010,SH_DTH_NCD,NUMBER,,F,NCD_CRESPD,597
2015,SH_DTH_NCD,NUMBER,,F,NCD_CRESPD,575
2016,SH_DTH_NCD,NUMBER,,F,NCD_CRESPD,580
2000,SH_DTH_NCD,NUMBER,,M,NCD_CRESPD,735
2005,SH_DTH_NCD,NUMBER,,M,NCD_CRESPD,890
2010,SH_DTH_NCD,NUMBER,,M,NCD_CRESPD,879
2015,SH_DTH_NCD,NUMBER,,M,NCD_CRESPD,872
2016,SH_DTH_NCD,NUMBER,,M,NCD_CRESPD,868
