Year,SERIES,UNIT_MEASURE,Value
2001,AG_PRD_AGVAS,PT,
2002,AG_PRD_AGVAS,PT,
2003,AG_PRD_AGVAS,PT,8.11
2004,AG_PRD_AGVAS,PT,8.58
2005,AG_PRD_AGVAS,PT,8.3
2006,AG_PRD_AGVAS,PT,8.05
2007,AG_PRD_AGVAS,PT,7.7
2008,AG_PRD_AGVAS,PT,7.21
2009,AG_PRD_AGVAS,PT,7.08
2010,AG_PRD_AGVAS,PT,6.80
2011,AG_PRD_AGVAS,PT,6.76
2012,AG_PRD_AGVAS,PT,6.14
2013,AG_PRD_AGVAS,PT,6.84
2014,AG_PRD_AGVAS,PT,5.95
2015,AG_PRD_AGVAS,PT,6.04
2016,AG_PRD_AGVAS,PT,6.17
2017,AG_PRD_AGVAS,PT,5.43
2018,AG_PRD_AGVAS,PT,5.72
2019,AG_PRD_AGVAS,PT,5.45
2020,AG_PRD_AGVAS,PT,5.91
2021,AG_PRD_AGVAS,PT,5.02
2022,AG_PRD_AGVAS,PT,4.83
2023,AG_PRD_AGVAS,PT,4.68
2024,AG_PRD_AGVAS,PT,4.28
2003,AG_PRD_ORTIND,INDEX,0.21
2004,AG_PRD_ORTIND,INDEX,0.2
2005,AG_PRD_ORTIND,INDEX,0.21
2006,AG_PRD_ORTIND,INDEX,0.21
2007,AG_PRD_ORTIND,INDEX,0.22
2008,AG_PRD_ORTIND,INDEX,0.24
2009,AG_PRD_ORTIND,INDEX,0.25
2010,AG_PRD_ORTIND,INDEX,0.25
2011,AG_PRD_ORTIND,INDEX,0.25
2012,AG_PRD_ORTIND,INDEX,0.28
2013,AG_PRD_ORTIND,INDEX,0.25
2014,AG_PRD_ORTIND,INDEX,0.28
2015,AG_PRD_ORTIND,INDEX,0.31
2016,AG_PRD_ORTIND,INDEX,0.25
2017,AG_PRD_ORTIND,INDEX,0.30
2018,AG_PRD_ORTIND,INDEX,0.26
2019,AG_PRD_ORTIND,INDEX,0.27
2020,AG_PRD_ORTIND,INDEX,0.30
2021,AG_PRD_ORTIND,INDEX,0.34
2022,AG_PRD_ORTIND,INDEX,0.40
2023,AG_PRD_ORTIND,INDEX,0.47
2024,AG_PRD_ORTIND,INDEX,0.47
2003,AG_XPD_AGSGB,PT,1.72
2004,AG_XPD_AGSGB,PT,1.72
2005,AG_XPD_AGSGB,PT,1.72
2006,AG_XPD_AGSGB,PT,1.72
2007,AG_XPD_AGSGB,PT,1.72
2008,AG_XPD_AGSGB,PT,1.72
2009,AG_XPD_AGSGB,PT,1.73
2010,AG_XPD_AGSGB,PT,1.72
2011,AG_XPD_AGSGB,PT,1.71
2012,AG_XPD_AGSGB,PT,1.75
2013,AG_XPD_AGSGB,PT,1.7
2014,AG_XPD_AGSGB,PT,1.69
2015,AG_XPD_AGSGB,PT,1.86
2016,AG_XPD_AGSGB,PT,1.55
2017,AG_XPD_AGSGB,PT,1.65
2018,AG_XPD_AGSGB,PT,1.51
2019,AG_XPD_AGSGB,PT,1.49
2020,AG_XPD_AGSGB,PT,1.8
2021,AG_XPD_AGSGB,PT,1.72
2022,AG_XPD_AGSGB,PT,1.95
2023,AG_XPD_AGSGB,PT,2.21
2024,AG_XPD_AGSGB,PT,2.0
