Year,SERIES,BIOKLIMATIC_BELT,LAND_ COVER,UNIT_MEASURE,Value
2000,ER_MTN_GRNCVI,MONTANE,ARTIFICIAL,PT,0.33
2005,ER_MTN_GRNCVI,MONTANE,ARTIFICIAL,PT,0.38
2010,ER_MTN_GRNCVI,MONTANE,ARTIFICIAL,PT,0.43
2015,ER_MTN_GRNCVI,MONTANE,ARTIFICIAL,PT,0.5
2018,ER_MTN_GRNCVI,MONTANE,ARTIFICIAL,PT,0.5
2000,ER_MTN_GRNCVI,MONTANE,CROPLAND,PT,18.81
2005,ER_MTN_GRNCVI,MONTANE,CROPLAND,PT,18.28
2010,ER_MTN_GRNCVI,MONTANE,CROPLAND,PT,17.12
2015,ER_MTN_GRNCVI,MONTANE,CROPLAND,PT,16.92
2018,ER_MTN_GRNCVI,MONTANE,CROPLAND,PT,17.08
2000,ER_MTN_GRNCVI,MONTANE,GLACIERS,PT,0
2005,ER_MTN_GRNCVI,MONTANE,GLACIERS,PT,0
2010,ER_MTN_GRNCVI,MONTANE,GLACIERS,PT,0
2015,ER_MTN_GRNCVI,MONTANE,GLACIERS,PT,0
2018,ER_MTN_GRNCVI,MONTANE,GLACIERS,PT,0
2000,ER_MTN_GRNCVI,MONTANE,GRASSLAND,PT,13.14
2005,ER_MTN_GRNCVI,MONTANE,GRASSLAND,PT,13.18
2010,ER_MTN_GRNCVI,MONTANE,GRASSLAND,PT,13.12
2015,ER_MTN_GRNCVI,MONTANE,GRASSLAND,PT,13.02
2018,ER_MTN_GRNCVI,MONTANE,GRASSLAND,PT,13.07
2000,ER_MTN_GRNCVI,MONTANE,HERB_AQUA_FLOOD,PT,0.08
2005,ER_MTN_GRNCVI,MONTANE,HERB_AQUA_FLOOD,PT,0.08
2010,ER_MTN_GRNCVI,MONTANE,HERB_AQUA_FLOOD,PT,0.08
2015,ER_MTN_GRNCVI,MONTANE,HERB_AQUA_FLOOD,PT,0.08
