Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,"Nacionalno zakonodavstvo, politika i financiranje",75.0
2011,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,"Nacionalno zakonodavstvo, politika i financiranje",
2014,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,"Nacionalno zakonodavstvo, politika i financiranje",
2015,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,"Nacionalno zakonodavstvo, politika i financiranje",100.0
2016,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,"Nacionalno zakonodavstvo, politika i financiranje",
2017,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,"Nacionalno zakonodavstvo, politika i financiranje",
2010,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Koordinacija i nacionalna kontakt točka za komunikaciju,40.0
2011,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Koordinacija i nacionalna kontakt točka za komunikaciju,
2014,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Koordinacija i nacionalna kontakt točka za komunikaciju,
2015,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Koordinacija i nacionalna kontakt točka za komunikaciju,30.0
2016,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Koordinacija i nacionalna kontakt točka za komunikaciju,
2017,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Koordinacija i nacionalna kontakt točka za komunikaciju,
2010,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Nadzor,48.0
2011,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Nadzor,
2014,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Nadzor,
2015,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Nadzor,80.0
2016,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Nadzor,
2017,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Nadzor,
2010,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Odgovor,32.0
2011,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Odgovor,
2014,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Odgovor,
2015,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Odgovor,60.0
2016,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Odgovor,
2017,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Odgovor,
2010,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Spremnost,33.0
2011,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Spremnost,
2014,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Spremnost,
2015,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Spremnost,45.0
2016,Kapaciteti za Međunarodne zdravstvene propise (IHR) i pripravnost za hitne medicinske usluge,Postotak,Spremnost,
