Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2014,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,Ispod 18 godina,0
2015,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,Ispod 18 godina,0
2014,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,Ispod 18 godina,0
2015,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,Ispod 18 godina,0
2014,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,18 godina i više,3
2015,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,18 godina i više,0
2014,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,18 godina i više,0
2015,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,18 godina i više,0
2010,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,14
2011,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,4
2012,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,10
2014,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,3
2015,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Žene,Svi dobni rasponi ili nema podjele po godinama,0
2010,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,3
2011,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,6
2012,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,3
2014,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2015,"Detektovane žrtve trgovine ljudima za prisilni rad, služnost i ropstvo (broj)",Broj,Muškarci,Svi dobni rasponi ili nema podjele po godinama,0
2005,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
2006,Detektovane žrtve trgovine ljudima za druge svrhe (broj),Broj,Žene,Ispod 18 godina,0
