Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2006,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,34.7
2007,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,31.3
2008,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,26.4
2009,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,25.5
2010,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,28.3
2011,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,27.8
2012,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,28.5
2013,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,26.0
2014,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,26.3
2015,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,28.1
2016,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,27.0
2017,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,24.5
2018,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,22.1
2019,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,21.2
2020,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,21.8
2021,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,19.3
2022,SL_TLF_NEET,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,17.62
2006,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,36.27
2007,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,32.48
2008,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,28.73
2009,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,26.4
2010,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,28.6
2011,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,26.69
2012,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,26.63
2013,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,24.87
2014,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,24.92
2015,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,26.54
2016,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,25.38
2017,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,25.08
2018,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,22.15
2019,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,22.72
2020,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,23.27
2021,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,19.87
2022,SL_TLF_NEET,Postotak,Žene,15 do 24 godine,18.08
2006,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,34.74
2007,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,32.24
2008,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,26.16
2009,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,26.84
2010,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,28.85
2011,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,29.79
2012,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,31.19
2013,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,28.23
2014,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,29.05
2015,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,29.94
2016,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,28.6
2017,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,25.86
2018,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,23.1
2019,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,22.5
2020,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,20.41
2021,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,18.77
2022,SL_TLF_NEET,Postotak,Muškarci,15 do 24 godine,17.19
2021,SL_TLF_NEET_19ICLS,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,20.16
2022,SL_TLF_NEET_19ICLS,Postotak,Oba spola ili bez podjele po spolu,15 do 24 godine,18.46
2021,SL_TLF_NEET_19ICLS,Postotak,Žene,15 do 24 godine,20.63
2022,SL_TLF_NEET_19ICLS,Postotak,Žene,15 do 24 godine,18.8
2021,SL_TLF_NEET_19ICLS,Postotak,Muškarci,15 do 24 godine,19.72
2022,SL_TLF_NEET_19ICLS,Postotak,Muškarci,15 do 24 godine,18.14
