Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2000,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2001,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,99.4
2002,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,98.5
2003,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2004,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2005,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2006,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,99.4
2007,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,99.7
2008,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2009,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2010,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2011,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,99.7
2012,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2013,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,99.5
2014,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2015,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,99.7
2016,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2017,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2018,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2019,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2020,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2021,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ukupno,100.0
2000,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2001,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2002,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2003,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2004,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2005,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2006,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2007,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2008,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2009,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2010,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2011,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2012,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2013,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2014,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2015,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2016,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2017,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2018,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2019,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2020,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2021,Udio stanovništva sa pristupom električnoj energiji,Postotak,Ruralno,100.0
2000,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2001,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2002,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,99.3
2003,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2004,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2005,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2006,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,99.7
2007,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2008,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2009,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2010,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2011,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,99.8
2012,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2013,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2014,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2015,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2016,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2017,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2018,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2019,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2020,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
2021,Udio stanovništva sa pristupom električnoj energiji,Postotak,Urbano,100.0
