Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2005,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,15.79221
2010,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,16.30277
2015,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,15.82199
2016,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,15.3037
2017,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,15.00477
2018,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,15.10976
2019,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,16.01302
2020,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,15.70981
2021,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,16.51239
2022,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,15.03258
2023,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,16.38086
2024,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Poljoprivredni proizvodi,16.22867
2005,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Bez podjele,7.91315
2010,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Bez podjele,7.54494
2015,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Bez podjele,7.88609
2016,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Bez podjele,7.67387
2017,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Bez podjele,7.75035
2018,"Svjetski ponderirani carinski prosjek, status najpovlaštenije države, prema vrsti proizvoda (%)",Postotak,Bez podjele,8.00909
