Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,46.6
2005,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,43.4
2010,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,40.3
2015,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,37.7
2018,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,35.5
2019,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,35.5
2020,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Oba spola ili bez podjele po spolu,35.0
2000,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Žene,35.0
2005,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Žene,33.2
2010,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Žene,31.2
2015,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Žene,29.8
2018,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Žene,28.8
2019,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Žene,28.3
2020,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Žene,28.0
2000,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Muškarci,58.2
2005,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Muškarci,53.5
2010,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Muškarci,49.3
2015,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Muškarci,45.6
2018,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Muškarci,43.2
2019,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Muškarci,42.6
2020,Starosna standardizirana rasprostranjenost trenutne uporabe duhana među osobama starosti 15 godina i više,Postotak,15 godina i više,Muškarci,42.0
