Year,SERIES,UNIT_MEASURE,Spol,Value
2015,Broj smrtnih slučajeva samoubojstvom,Broj,Oba spola ili bez podjele po spolu,367.0
2019,Broj smrtnih slučajeva samoubojstvom,Broj,Oba spola ili bez podjele po spolu,361.0
2015,Broj smrtnih slučajeva samoubojstvom,Broj,Žene,81.0
2019,Broj smrtnih slučajeva samoubojstvom,Broj,Žene,76.0
2015,Broj smrtnih slučajeva samoubojstvom,Broj,Muškarci,287.0
2019,Broj smrtnih slučajeva samoubojstvom,Broj,Muškarci,285.0
2015,Stopa samoubojstvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,10.7
2019,Stopa samoubojstvima,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,10.9
2015,Stopa samoubojstvima,Na 100 000 stanovnika,Žene,4.6
2019,Stopa samoubojstvima,Na 100 000 stanovnika,Žene,4.5
2015,Stopa samoubojstvima,Na 100 000 stanovnika,Muškarci,17.0
2019,Stopa samoubojstvima,Na 100 000 stanovnika,Muškarci,17.6
