Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,360.0
2001,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,327.0
2002,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,307.0
2003,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,292.0
2004,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,279.0
2005,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,263.0
2006,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,248.0
2007,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,238.0
2008,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,231.0
2009,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,227.0
2010,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,220.0
2011,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,204.0
2012,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,193.0
2013,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,188.0
2014,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,180.0
2015,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,177.0
2016,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,176.0
2017,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,175.0
2018,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,176.0
2019,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,172.0
2020,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,163.0
2021,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,151.0
2022,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,140.0
2023,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,132.0
2024,Umrla dojenčad (broj),Broj,Mlađi od 1 godine,Oba spola ili bez podjele po spolu,134.0
