Year,SERIES,UNIT_MEASURE,Godine,Stupanj urbanizacije,Kvantil dohotka ili bogatstva,Spol,Tipovi kućanstava,Value
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,mlađi od 59 godina,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,8.11
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,60 godina i stariji,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,9.36
2001,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,18.78
2004,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,11.24
2007,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,15.36
2011,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,12.25
2015,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,10.92
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,8.58
2022,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Sve vrste kućanstava,8.58
2001,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Kućanstva sastavljena samo od osoba u dobi između 20 i 59 godina,9.94
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Kućanstva sastavljena samo od osoba u dobi između 20 i 59 godina,3.68
2001,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Odrasli koji žive s djecom (od 0 do 9 godina) i ili adolescentima (od 10 do 19 godina),18.23
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Odrasli koji žive s djecom (od 0 do 9 godina) i ili adolescentima (od 10 do 19 godina),9.06
2001,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Kućanstva sastavljena od odraslih koji žive s najmanje jednom starijom osobom (60 godina i više),17.51
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Kućanstva sastavljena od odraslih koji žive s najmanje jednom starijom osobom (60 godina i više),7.95
2001,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,"Kućanstva uključuju odrasle koji žive s osobama mlađim od 20 godina (djeca i ili adolescenti), kao i starije odrasle osobe (60 godina i više)",30.34
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,"Kućanstva uključuju odrasle koji žive s osobama mlađim od 20 godina (djeca i ili adolescenti), kao i starije odrasle osobe (60 godina i više)",16.66
2001,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Kućanstva sastavljena isključivo od starijih osoba (60 godina i više),18.3
2021,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Oba spola,Kućanstva sastavljena isključivo od starijih osoba (60 godina i više),7.47
2004,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste kućanstava,11.27
2007,"Udio stanovništva s pozitivnim izdacima kućanstva za zdravstvo koji prelaze 40% diskrecijskog proračuna kućanstva, prema lokaciji, kvintilu, vrsti kućanstva i karakteristikama glave kućanstva (%)",Postotak,Svi dobni raspon,Sva područja,Ukupno (nacionalni prosjek) ili bez podjele,Žene,Sve vrste kućanstava,14.35
