Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2000,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,97.2697
2001,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,97.22156
2002,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,97.17081
2003,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,97.11741
2004,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,97.0614
2005,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,97.00271
2006,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.94138
2007,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.8774
2008,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.81075
2009,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.74145
2010,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.66949
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.59487
2012,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.45003
2013,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.352
2014,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.16813
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.15984
2016,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.15126
2017,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ukupno,96.14236
2000,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.25556
2001,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.35999
2002,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.46407
2003,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.56778
2004,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.67113
2005,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.77412
2006,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.87676
2007,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,96.97903
2008,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.08093
2009,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.18248
2010,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.28367
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.3845
2012,Udio stanovništva koji koristi osnovne usluge pitke vode,Postotak,Ruralno,97.35945
