Year,SERIES,UNIT_MEASURE,Spol,Value
2000,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,1.08
2001,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,1.2
2002,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,2.65
2003,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,3.97
2004,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,15.47
2005,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,21.33
2006,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,25.12
2007,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,27.92
2008,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,34.66
2009,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,37.74
2010,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,42.75
2011,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,43.89
2012,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,45.06
2013,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,48.52
2014,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,49.92
2015,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,52.6
2016,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,60.26
2016,Udio pojedinaca koji koriste internet (%),Postotak,Žene,57.31
2016,Udio pojedinaca koji koriste internet (%),Postotak,Muškarci,63.59
2017,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,64.89
2017,Udio pojedinaca koji koriste internet (%),Postotak,Žene,62.49
2017,Udio pojedinaca koji koriste internet (%),Postotak,Muškarci,67.58
2018,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,70.12
2018,Udio pojedinaca koji koriste internet (%),Postotak,Žene,68.34
2018,Udio pojedinaca koji koriste internet (%),Postotak,Muškarci,72.4
2019,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,69.95
2019,Udio pojedinaca koji koriste internet (%),Postotak,Žene,67.45
2019,Udio pojedinaca koji koriste internet (%),Postotak,Muškarci,72.82
2020,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,73.21
2020,Udio pojedinaca koji koriste internet (%),Postotak,Žene,69.31
2020,Udio pojedinaca koji koriste internet (%),Postotak,Muškarci,77.82
2021,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,75.68
2021,Udio pojedinaca koji koriste internet (%),Postotak,Žene,72.66
2021,Udio pojedinaca koji koriste internet (%),Postotak,Muškarci,79.18
2022,Udio pojedinaca koji koriste internet (%),Postotak,Oba spola,78.85
2022,Udio pojedinaca koji koriste internet (%),Postotak,Žene,76.97
2022,Udio pojedinaca koji koriste internet (%),Postotak,Muškarci,80.8
