Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Spol,Godine,Value
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,89.55
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,90.87
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,91.24
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,91.19
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,90.4
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,90.56
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,90.81
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,90.94
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,89.75
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,90.0
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,89.89
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,76.01
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,72.74
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,79.37
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,64.52
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,78.44
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Oba spola,15 godina i više,81.19
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,24.64
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,23.76
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,21.15
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,18.33
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,18.12
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,16.33
2012,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,18.9
2013,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,17.7
2014,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,16.8
2015,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,17.1
2016,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,17.5
2017,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,12.9
2018,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,12.7
2019,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,10.8
2020,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,7.5
2021,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,8.4
2022,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Nepoljoprivredna,Oba spola,15 godina i više,7.45
2006,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,38.0
2007,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,37.1
2008,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,35.6
2009,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,33.8
2010,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,32.4
2011,"Udio neformalne zaposlenosti, prema sektoru i spolu (usklađene procjene ILO-a) - 13. ICLS (%)",Postotak,Bez podjele,Oba spola,15 godina i više,30.9
