Year,SERIES,UNIT_MEASURE,Spol,Value
2000,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,2.37
2001,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.95
2002,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,2.14
2004,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.64
2007,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.65
2008,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.67
2009,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.83
2010,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.47
2011,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.36
2012,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.71
2013,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.27
2014,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.4
2015,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.62
2016,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.29
2017,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.22
2018,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.15
2019,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.25
2020,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.31
2021,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,0.98
2022,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola,1.09
2000,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.93
2001,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,1.35
2002,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,1.16
2009,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.76
2010,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.51
2011,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.83
2012,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,1.28
2013,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.76
2014,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.6
2015,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,1.0
2016,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.85
2017,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.57
2018,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.46
2019,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.59
2020,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.3
2021,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.42
2022,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Žene,0.71
2000,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,3.88
2001,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.59
2002,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,3.17
2009,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.96
2010,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.47
2011,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.92
2012,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.81
2013,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.84
2014,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.23
2015,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,2.26
2016,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.76
2017,Broj žrtava ubojstava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Muškarci,1.9
