Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.03
2001,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.1
2002,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.1
2003,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.08
2004,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.08
2005,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.07
2006,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.06
2007,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.06
2008,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.05
2009,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.09
2010,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.07
2012,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.04
2018,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.06
2019,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.04
2020,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.08
2021,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.03
2022,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,10 do 14 godina,Žene,0.11
2000,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,16.6
2001,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,17.4
2002,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,18.7
2003,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,17.4
2004,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,17.2
2005,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,16.5
2006,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,16.4
2007,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,15.2
2008,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,15.8
2009,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,14.8
2010,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,13.5
2011,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,12.2
2012,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,12.3
2013,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,11.0
2014,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,10.7
2018,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,10.11
2019,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,9.89
2020,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,9.4
2021,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,9.34
2022,Stopa nataliteta adolescenata (na 1000 žena u dobi od 15-19 i 10-14 godina),Na 1 000 stanovnika,15 do 19 godina,Žene,8.52
