Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2000,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,53.8
2000,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,33.0
2000,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,81.8
2001,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,52.7
2001,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,31.9
2001,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,80.1
2002,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,51.6
2002,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,30.4
2002,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,79.3
2003,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,51.0
2003,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,29.15
2003,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,78.1
2004,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,50.0
2004,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,27.8
2004,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,76.7
2005,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,49.1
2005,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,26.4
2005,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,75.3
2006,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,47.7
2006,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,25.5
2006,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,74.1
2007,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,46.6
2007,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,23.9
2007,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,72.7
2008,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,46.3
2008,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,22.8
2008,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,71.3
2009,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,45.2
2009,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,21.7
2009,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,69.8
2010,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,44.9
2010,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,20.7
2010,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,68.4
2011,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,43.3
2011,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,19.8
2011,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,67.3
2012,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,43.0
2012,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,18.6
2012,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,66.0
2013,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,42.7
2013,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,18.0
2013,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,65.2
2014,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,42.1
2014,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,17.1
2014,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,64.4
2015,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,41.7
2015,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,16.2
2015,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,63.4
2016,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,41.6
2016,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,15.5
2016,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,62.6
2017,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,41.3
2017,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,14.7
2017,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,61.8
2018,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,40.8
2018,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,14.3
2018,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,61.1
2019,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,40.3
2019,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,13.5
2019,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,60.2
2020,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,40.2
2020,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,13.4
2020,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,59.6
2021,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,49.9
2021,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,12.2
2021,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,57.95
2022,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,39.3
2022,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,11.5
2022,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,57.4
2023,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Sva područja,39.5
2023,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Ruralno,10.95
2023,Udio stanovništva koji se prvenstveno oslanja na čista goriva i tehnologiju,Postotak,Urbano,57.0
