Year,SERIES,UNIT_MEASURE,Spol,Godine,Razina obrazovanja,Kvantil dohotka ili bogatstva,Stupanj urbanizacije,Value
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,56.21
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,52.69
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,58.84
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,79.34
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,77.46
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,47.72
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,47.06
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,54.74
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,70.37
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Žene,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,75.75
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,67.23
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,58.82
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,63.18
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,88.71
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Muškarci,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,79.26
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,Sva područja,42.76
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,Sva područja,40.77
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,Sva područja,47.5
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,Sva područja,72.29
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najsiromašniji 40%,Sva područja,70.38
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,Sva područja,65.17
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,Sva područja,60.61
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,Sva područja,66.39
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,Sva područja,84.01
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Najbogatijih 60%,Sva područja,82.15
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Ruralno,76.32
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Ukupno,Ukupno (nacionalni prosjek) ili bez podjele,Urbano,82.71
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,34.15
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,38.18
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,39.42
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,57.58
2024,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Osnovno obrazovanje ili niže,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,53.8
2011,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,67.85
2014,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,63.14
2017,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,69.26
2021,Udio odraslih (15 i više godina) koji imaju račun u banci ili drugoj financijskoj instituciji ili kod providera mobilnih novčanih usluga,Postotak,Oba spola ili bez podjele po spolu,15 godina i više,Srednje obrazovanje ili više,Ukupno (nacionalni prosjek) ili bez podjele,Sva područja,90.08
