Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2001,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2002,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2003,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2004,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2005,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2006,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2007,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2008,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2009,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2010,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2011,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2012,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2013,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2014,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2015,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2016,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2017,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2018,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Oba spola ili bez podjele po spolu,
2000,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2001,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2002,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2003,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2004,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2005,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2006,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2007,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2008,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2009,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2010,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2011,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2012,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2013,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2014,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2015,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2016,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2017,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2018,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Žene,
2000,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2001,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2002,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2003,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2004,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2005,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2006,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2007,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2008,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2009,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2010,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2011,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2012,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2013,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
2014,Broj novih HIV infekcija na 1 000 neinficiranih stanovnika,PER_1000_UNINFECTED_POP,15 do 24 godine,Muškarci,
