Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2006,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,11.15
2007,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,11.66
2008,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,11.76
2009,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,11.47
2010,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.19
2011,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.07
2012,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.07
2013,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.06
2014,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.11
2015,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.03
2016,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.34
2017,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.84
2018,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.67
2019,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.38
2020,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.13
2021,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.91
2022,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,12.78
2023,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2020.) kao udio u BDP-u (%),Postotak,Proizvodnja,11.93
2006,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,10.02
2007,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,10.81
2008,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,11.01
2009,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,10.48
2010,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,10.88
2011,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,10.92
2014,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,11.04
2015,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,10.27
2016,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,11.03
2017,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,11.78
2018,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,12.14
2019,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,12.05
2020,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,12.13
2021,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,13.4
2022,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,14.09
2023,Dodana vrijednost u proizvodnji (tekući američki dolari) kao udio u BDP-u (%),Postotak,Proizvodnja,12.75
2006,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,410.72
2007,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,460.06
2008,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,497.71
2009,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,478.77
2010,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,522.5
2011,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,532.01
2012,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,538.05
2013,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,574.27
2014,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,606.67
2015,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,654.0
2016,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,699.64
2017,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,767.26
2018,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,790.71
2019,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,800.38
2020,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,776.21
2021,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,901.31
2022,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,960.17
2023,Dodana vrijednost proizvodnje po glavi stanovnika (konstantno u američkim dolarima iz 2020.),Konstantni američki dolari,Proizvodnja,939.07
