Year,SERIES,UNIT_MEASURE,PRODUCT,Value
2015,EN_MAT_DOMCMPC,TONNES,ALP,9.708
2016,EN_MAT_DOMCMPC,TONNES,ALP,11.255
2017,EN_MAT_DOMCMPC,TONNES,ALP,10.465
2018,EN_MAT_DOMCMPC,TONNES,ALP,11.045
2019,EN_MAT_DOMCMPC,TONNES,ALP,11.081
2020,EN_MAT_DOMCMPC,TONNES,ALP,11.206
2021,EN_MAT_DOMCMPC,TONNES,ALP,10.849
2022,EN_MAT_DOMCMPC,TONNES,ALP,10.849
2023,EN_MAT_DOMCMPC,TONNES,ALP,10.292
2015,EN_MAT_DOMCMPC,TONNES,BIM,2.223
2016,EN_MAT_DOMCMPC,TONNES,BIM,2.699
2017,EN_MAT_DOMCMPC,TONNES,BIM,2.282
2018,EN_MAT_DOMCMPC,TONNES,BIM,2.778
2019,EN_MAT_DOMCMPC,TONNES,BIM,2.778
2020,EN_MAT_DOMCMPC,TONNES,BIM,2.87
2021,EN_MAT_DOMCMPC,TONNES,BIM,2.394
2022,EN_MAT_DOMCMPC,TONNES,BIM,2.407
2023,EN_MAT_DOMCMPC,TONNES,BIM,2.329
2015,EN_MAT_DOMCMPC,TONNES,FOF,4.035
2016,EN_MAT_DOMCMPC,TONNES,FOF,4.676
2017,EN_MAT_DOMCMPC,TONNES,FOF,4.883
2018,EN_MAT_DOMCMPC,TONNES,FOF,4.989
2019,EN_MAT_DOMCMPC,TONNES,FOF,4.697
2020,EN_MAT_DOMCMPC,TONNES,FOF,4.659
2021,EN_MAT_DOMCMPC,TONNES,FOF,4.555
2022,EN_MAT_DOMCMPC,TONNES,FOF,4.589
2023,EN_MAT_DOMCMPC,TONNES,FOF,4.309
2015,EN_MAT_DOMCMPC,TONNES,MEO,0.835
2016,EN_MAT_DOMCMPC,TONNES,MEO,0.75
2017,EN_MAT_DOMCMPC,TONNES,MEO,0.724
2018,EN_MAT_DOMCMPC,TONNES,MEO,0.716
2019,EN_MAT_DOMCMPC,TONNES,MEO,0.845
2020,EN_MAT_DOMCMPC,TONNES,MEO,0.612
2021,EN_MAT_DOMCMPC,TONNES,MEO,0.652
2022,EN_MAT_DOMCMPC,TONNES,MEO,0.711
2023,EN_MAT_DOMCMPC,TONNES,MEO,0.724
