Year,SERIES,UNIT_MEASURE,SEX,Value
2010,SG_GEN_PARLN,NUMBER,F,8.0
2011,SG_GEN_PARLN,NUMBER,F,7.0
2012,SG_GEN_PARLN,NUMBER,F,9.0
2013,SG_GEN_PARLN,NUMBER,F,9.0
2014,SG_GEN_PARLN,NUMBER,F,9.0
2015,SG_GEN_PARLN,NUMBER,F,9.0
2016,SG_GEN_PARLN,NUMBER,F,9.0
2017,SG_GEN_PARLN,NUMBER,F,9.0
2018,SG_GEN_PARLN,NUMBER,F,9.0
2019,SG_GEN_PARLN,NUMBER,F,9.0
2020,SG_GEN_PARLN,NUMBER,F,9.0
2021,SG_GEN_PARLN,NUMBER,F,11.0
2022,SG_GEN_PARLN,NUMBER,F,11.0
2023,SG_GEN_PARLN,NUMBER,F,8.0
2024,SG_GEN_PARLN,NUMBER,F,8.0
2021,SG_GEN_PARLNT,NUMBER,_T,42.0
2022,SG_GEN_PARLNT,NUMBER,_T,42.0
2023,SG_GEN_PARLNT,NUMBER,_T,42.0
2024,SG_GEN_PARLNT,NUMBER,_T,42.0
2017,SG_GEN_LOCGELS,PT,F,18.6
2021,SG_GEN_LOCGELS,PT,F,19.6
2010,SG_GEN_PARL,PT,F,19.05
2011,SG_GEN_PARL,PT,F,16.67
2012,SG_GEN_PARL,PT,F,21.43
2013,SG_GEN_PARL,PT,F,21.43
2014,SG_GEN_PARL,PT,F,21.43
2015,SG_GEN_PARL,PT,F,21.43
2016,SG_GEN_PARL,PT,F,21.43
2017,SG_GEN_PARL,PT,F,21.43
2018,SG_GEN_PARL,PT,F,21.43
2019,SG_GEN_PARL,PT,F,21.43
2020,SG_GEN_PARL,PT,F,21.43
2021,SG_GEN_PARL,PT,F,26.19
2022,SG_GEN_PARL,PT,F,26.19
2023,SG_GEN_PARL,PT,F,19.05
2024,SG_GEN_PARL,PT,F,19.05
