Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2000,ER_H2O_WUEYST,USD/m3,INDUSTRIES,148.84
2001,ER_H2O_WUEYST,USD/m3,INDUSTRIES,110.64
2002,ER_H2O_WUEYST,USD/m3,INDUSTRIES,89.28
2003,ER_H2O_WUEYST,USD/m3,INDUSTRIES,77.11
2004,ER_H2O_WUEYST,USD/m3,INDUSTRIES,68.84
2005,ER_H2O_WUEYST,USD/m3,INDUSTRIES,67.7
2006,ER_H2O_WUEYST,USD/m3,INDUSTRIES,63.24
2007,ER_H2O_WUEYST,USD/m3,INDUSTRIES,65.86
2008,ER_H2O_WUEYST,USD/m3,INDUSTRIES,66.22
2009,ER_H2O_WUEYST,USD/m3,INDUSTRIES,67.1
2010,ER_H2O_WUEYST,USD/m3,INDUSTRIES,59.15
2011,ER_H2O_WUEYST,USD/m3,INDUSTRIES,44.81
2012,ER_H2O_WUEYST,USD/m3,INDUSTRIES,35.35
2013,ER_H2O_WUEYST,USD/m3,INDUSTRIES,35.17
2014,ER_H2O_WUEYST,USD/m3,INDUSTRIES,44.6
2015,ER_H2O_WUEYST,USD/m3,INDUSTRIES,46.32
2016,ER_H2O_WUEYST,USD/m3,INDUSTRIES,44.38
2017,ER_H2O_WUEYST,USD/m3,INDUSTRIES,44.86
2018,ER_H2O_WUEYST,USD/m3,INDUSTRIES,42.47
2019,ER_H2O_WUEYST,USD/m3,INDUSTRIES,70.94
2020,ER_H2O_WUEYST,USD/m3,INDUSTRIES,53.08
2021,ER_H2O_WUEYST,USD/m3,INDUSTRIES,63.54
2000,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,17.52
2001,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,18.14
2002,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,19.13
2003,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,20.33
2004,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,21.02
2005,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,21.77
2006,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,21.48
2007,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,23.82
2008,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,24.99
2009,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,25.01
2010,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,25.02
2011,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,25.92
2012,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,26.05
2013,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,26.93
2014,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,28.4
2015,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,28.49
2016,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,28.18
2017,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,28.67
2018,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,33.6
2019,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,35.68
2020,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,34.92
2021,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,36.62
2022,ER_H2O_WUEYST,USD/m3,ISIC4_GTT,37.4
2020,ER_H2O_WUEYST,USD/m3,ISIC4_A01_A0210_A0322,
2020,ER_H2O_WUEYST,USD/m3,_T,
