Year,SERIES,UNIT_MEASURE,AGE,Value
2006,FB_ATM_TOTL,NUMBER,Y_GE15,15.76037
2007,FB_ATM_TOTL,NUMBER,Y_GE15,20.89609
2008,FB_ATM_TOTL,NUMBER,Y_GE15,28.71313
2009,FB_ATM_TOTL,NUMBER,Y_GE15,43.23664
2010,FB_ATM_TOTL,NUMBER,Y_GE15,35.16588
2011,FB_ATM_TOTL,NUMBER,Y_GE15,38.95988
2012,FB_ATM_TOTL,NUMBER,Y_GE15,42.19187
2013,FB_ATM_TOTL,NUMBER,Y_GE15,45.62668
2014,FB_ATM_TOTL,NUMBER,Y_GE15,48.31005
2015,FB_ATM_TOTL,NUMBER,Y_GE15,51.91501
2016,FB_ATM_TOTL,NUMBER,Y_GE15,52.48192
2017,FB_ATM_TOTL,NUMBER,Y_GE15,53.89314
2018,FB_ATM_TOTL,NUMBER,Y_GE15,55.8397
2019,FB_ATM_TOTL,NUMBER,Y_GE15,58.23953
2020,FB_ATM_TOTL,NUMBER,Y_GE15,58.0168
2021,FB_ATM_TOTL,NUMBER,Y_GE15,58.1898
2005,FB_CBK_BRCH,NUMBER,Y_GE15,27.4945
2006,FB_CBK_BRCH,NUMBER,Y_GE15,28.2854
2007,FB_CBK_BRCH,NUMBER,Y_GE15,31.8067
2008,FB_CBK_BRCH,NUMBER,Y_GE15,33.9076
2009,FB_CBK_BRCH,NUMBER,Y_GE15,32.2919
2010,FB_CBK_BRCH,NUMBER,Y_GE15,31.5148
2011,FB_CBK_BRCH,NUMBER,Y_GE15,32.445
2012,FB_CBK_BRCH,NUMBER,Y_GE15,32.2354
2013,FB_CBK_BRCH,NUMBER,Y_GE15,33.1861
2014,FB_CBK_BRCH,NUMBER,Y_GE15,34.3523
2015,FB_CBK_BRCH,NUMBER,Y_GE15,31.6513
2016,FB_CBK_BRCH,NUMBER,Y_GE15,30.3021
2017,FB_CBK_BRCH,NUMBER,Y_GE15,30.4659
2018,FB_CBK_BRCH,NUMBER,Y_GE15,30.5318
2019,FB_CBK_BRCH,NUMBER,Y_GE15,30.0076
2020,FB_CBK_BRCH,NUMBER,Y_GE15,29.9177
2021,FB_CBK_BRCH,NUMBER,Y_GE15,29.8455
